iteration," 	random#","	Written Number"
,,
1,4,Four
2,1,One
3,1,One
4,5,Five
5,5,Five
6,4,Four
7,1,One
8,2,Two
9,2,Two
10,3,Three
11,5,Five
12,5,Five
13,1,One
14,1,One
15,4,Four
16,4,Four
17,4,Four
18,1,One
19,1,One
20,5,Five
21,2,Two
22,3,Three
23,2,Two
24,2,Two
25,1,One
26,1,One
27,3,Three
28,5,Five
29,3,Three
30,3,Three
31,3,Three
32,2,Two
33,3,Three
34,1,One
35,4,Four
36,4,Four
37,5,Five
38,4,Four
39,4,Four
40,2,Two
41,3,Three
42,4,Four
43,2,Two
44,3,Three
45,4,Four
46,2,Two
47,5,Five
48,2,Two
49,4,Four
50,2,Two
51,5,Five
52,4,Four
53,2,Two
54,1,One
55,5,Five
56,3,Three
57,4,Four
58,4,Four
59,3,Three
60,3,Three
61,3,Three
62,1,One
63,5,Five
64,3,Three
65,1,One
66,4,Four
67,5,Five
68,4,Four
69,2,Two
70,2,Two
71,2,Two
72,1,One
73,1,One
74,3,Three
75,1,One
76,3,Three
77,4,Four
78,4,Four
79,2,Two
80,1,One
81,3,Three
82,2,Two
83,1,One
84,3,Three
85,1,One
86,3,Three
87,2,Two
88,5,Five
89,5,Five
90,4,Four
91,5,Five
92,5,Five
93,5,Five
94,4,Four
95,1,One
96,2,Two
97,3,Three
98,2,Two
99,2,Two
100,3,Three
